# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.16.0
#@/tick	82628
#@/user_id	mac_double_pinyin_fly
bu du chang 	不賭場	c=1 d=4.72321e-88 t=82628
bu duan 	不斷	c=1 d=3.5577e-19 t=82628
bu dui 	不對	c=11 d=0.00673794 t=82628
bu duo 	不多	c=4 d=0.00315111 t=82628
bu fan hui 	不返回	c=1 d=0.000871757 t=82628
bu fang bian 	不方便	c=3 d=0.0620385 t=82628
bu fen 	部分	c=19 d=0.494108 t=82628
bu fen wen jian 	部分文件	c=1 d=2.92989e-29 t=82628
bu feng 	不封	c=1 d=7.83295e-98 t=82628
bu fu 	不符	c=1 d=4.56663e-15 t=82628
bu gai 	不改	c=1 d=3.71793e-96 t=82628
bu gan 	不敢	c=3 d=1.0158e-08 t=82628
bu gao 	不高	c=4 d=0.212303 t=82628
bu gei 	不給	c=1 d=1.42788e-14 t=82628
bu gou 	不夠	c=11 d=4.48474e-08 t=82628
bu gu 	不顧	c=0 d=1.11503e-76 t=82628
bu gu o 	不顧哦	c=1 d=1.12062e-75 t=82628
bu guan 	不管	c=6 d=7.26397e-05 t=82628
bu guang deng 	補光燈	c=1 d=1.40782e-24 t=82628
bu guo 	不過	c=140 d=0.721482 t=82628
bu hao 	不好	c=24 d=0.331211 t=82628
bu hao chi 	不好喫	c=1 d=9.35891e-45 t=82628
bu hao qu 	不好去	c=1 d=3.22968e-28 t=82628
bu hao yi si 	不好意思	c=24 d=0.000204245 t=82628
bu hao yong 	不好用	c=1 d=9.60532e-86 t=82628
bu he 	不合	c=3 d=5.33296e-58 t=82628
bu he li 	不合理	c=1 d=1.56746e-23 t=82628
bu huan 	不還	c=1 d=7.59136e-53 t=82628
bu hui 	不回	c=1 d=4.46816e-82 t=82628
bu hui 	不會	c=71 d=0.00783759 t=82628
bu ji 	不急	c=24 d=0.00806679 t=82628
bu ji de 	不記得	c=3 d=1.47136e-14 t=82628
bu ji zhe 	不急着	c=2 d=2.20564e-12 t=82628
bu jia 	不加	c=2 d=1.39022e-23 t=82628
bu jia ru 	不加入	c=1 d=0.0536647 t=82628
bu jian 	不見	c=2 d=0.000202453 t=82628
bu jie 	不接	c=2 d=0.0378168 t=82628
bu jin 	不僅	c=1 d=2.9953e-24 t=82628
bu jin 	不近	c=1 d=3.91893e-39 t=82628
bu jin bu man 	不緊不慢	c=1 d=9.49166e-93 t=82628
bu jin jin 	不僅僅	c=1 d=1.68713e-65 t=82628
bu jiu 	不久	c=1 d=3.77514e-11 t=82628
bu jiu 	補救	c=1 d=1.74283e-06 t=82628
bu ju 	佈局	c=1 d=0.67032 t=82628
bu jue de 	不覺得	c=2 d=0.00293279 t=82628
bu kan 	不堪	c=2 d=1.72505e-23 t=82628
bu kao lv 	不考慮	c=3 d=3.90761e-05 t=82628
bu ke 	不可	c=1 d=1.36436e-08 t=82628
bu ke kao 	不可靠	c=1 d=9.39813e-06 t=82628
bu ke neng 	不可能	c=1 d=1.8325e-08 t=82628
bu ke qi 	不客氣	c=2 d=1.14373e-21 t=82628
bu ke yi 	不可以	c=1 d=5.51979e-98 t=82628
bu ken 	不肯	c=1 d=4.68194e-73 t=82628
bu lai 	不來	c=2 d=1.57425e-15 t=82628
bu lao 	不老	c=1 d=1.97684e-47 t=82628
bu liao 	不了	c=25 d=0.00164503 t=82628
bu liu 	不留	c=1 d=9.20987e-62 t=82628
bu luo 	部落	c=1 d=4.91346e-82 t=82628
bu luo fen 	布洛芬	c=1 d=1.38103e-92 t=82628
bu mang 	不忙	c=2 d=2.08868e-18 t=82628
bu men 	部門	c=5 d=4.10293e-20 t=82628
bu nan 	不難	c=1 d=1.14155e-28 t=82628
bu neng 	不能	c=54 d=0.926973 t=82628
bu neng qu 	不能去	c=1 d=3.60779e-07 t=82628
bu pei he 	不配合	c=1 d=1.37695e-116 t=82628
bu pin 	補品	c=1 d=1.79323e-106 t=82628
bu qi 	補齊	c=1 d=8.05914e-80 t=82628
bu qing chu 	不清楚	c=5 d=0.00927842 t=82628
bu qu 	不去	c=10 d=0.00331268 t=82628
bu quan 	不全	c=2 d=1.7925e-13 t=82628
bu que 	不缺	c=1 d=4.41468e-58 t=82628
bu que ding 	不確定	c=29 d=2.05662e-12 t=82628
bu que ren 	不確認	c=1 d=9.2086e-31 t=82628
bu ran 	不然	c=1 d=6.93989e-115 t=82628
